epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.767,1.26747,1.57737,1.27497,0.78819,0.70081,0.78012,0.49405,1.23363,1.28431,1.25306,0.000554337,0.000554337,0.000554337
2,690.653,1.22694,1.14678,1.24187,0.8086,0.74242,0.82689,0.5315,1.2031,1.0711,1.23188,0.00108803,0.00108803,0.00108803
3,1114.08,1.21972,1.07099,1.24347,0.80567,0.73038,0.81622,0.52422,1.21569,1.07705,1.26033,0.00159971,0.00159971,0.00159971
4,1529.55,1.2018,1.02202,1.24017,0.83808,0.77455,0.85901,0.57832,1.12343,0.94591,1.20414,0.00156798,0.00156798,0.00156798
5,1968.15,1.15701,0.96064,1.21274,0.86708,0.7873,0.88052,0.60824,1.08166,0.8162,1.15746,0.00153497,0.00153497,0.00153497
6,2406.26,1.13782,0.90833,1.20035,0.86732,0.8228,0.90279,0.6232,1.08423,0.74144,1.14752,0.00150197,0.00150197,0.00150197
7,2850.15,1.1092,0.87193,1.18232,0.86782,0.83358,0.90967,0.64136,1.03425,0.7331,1.12329,0.00146896,0.00146896,0.00146896
8,3274.78,1.08877,0.8421,1.17026,0.89044,0.83424,0.91583,0.63535,1.07382,0.70803,1.13629,0.00143595,0.00143595,0.00143595
9,3763.72,1.06907,0.82666,1.16093,0.88945,0.82868,0.9159,0.64472,1.02564,0.69523,1.1161,0.00140295,0.00140295,0.00140295
10,4259.64,1.04967,0.80054,1.1532,0.88525,0.83774,0.9138,0.64299,1.04266,0.68613,1.11919,0.00136994,0.00136994,0.00136994
11,4728.67,1.04588,0.78203,1.15218,0.88537,0.84388,0.92101,0.64983,1.02825,0.67479,1.1149,0.00133693,0.00133693,0.00133693
12,5173.25,1.03709,0.77037,1.14361,0.88332,0.86674,0.93126,0.67743,0.96414,0.63636,1.08232,0.00130393,0.00130393,0.00130393
13,5613.51,1.01477,0.74404,1.12838,0.89827,0.86214,0.93509,0.69596,0.9258,0.61517,1.06106,0.00127092,0.00127092,0.00127092
14,6073.83,1.00829,0.73807,1.12687,0.88449,0.86742,0.93362,0.68863,0.94683,0.62583,1.07345,0.00123791,0.00123791,0.00123791
15,6545.12,1.00128,0.73616,1.12752,0.90855,0.86733,0.93589,0.68526,0.95116,0.59845,1.06591,0.00120491,0.00120491,0.00120491
16,7030.42,0.99196,0.71319,1.11692,0.88601,0.86789,0.92993,0.68503,0.95158,0.60899,1.06976,0.0011719,0.0011719,0.0011719
17,7529.87,0.99276,0.71493,1.11905,0.90387,0.85252,0.93275,0.6914,0.92616,0.59372,1.0631,0.00113889,0.00113889,0.00113889
18,8027.36,0.98142,0.69903,1.11116,0.8953,0.87952,0.94024,0.69978,0.92851,0.58031,1.05976,0.00110589,0.00110589,0.00110589
19,8542.95,0.96907,0.68919,1.10795,0.90615,0.87848,0.94312,0.70997,0.89866,0.55785,1.03749,0.00107288,0.00107288,0.00107288
20,9051.35,0.96109,0.68991,1.10367,0.9085,0.86497,0.93977,0.70816,0.89263,0.56796,1.04569,0.00103987,0.00103987,0.00103987
21,9556.79,0.95409,0.67204,1.09945,0.90978,0.87651,0.9452,0.72021,0.87917,0.54216,1.03986,0.00100687,0.00100687,0.00100687
22,10087,0.94336,0.66051,1.09605,0.89793,0.88716,0.94454,0.71705,0.89138,0.53672,1.03604,0.000973861,0.000973861,0.000973861
23,10624.7,0.94226,0.65575,1.09438,0.90147,0.88031,0.94213,0.71439,0.89675,0.55433,1.04486,0.000940855,0.000940855,0.000940855
24,11165.9,0.9323,0.64852,1.09223,0.91067,0.88823,0.94804,0.7268,0.86878,0.52746,1.02174,0.000907848,0.000907848,0.000907848
25,11713.4,0.92754,0.64601,1.08378,0.91739,0.87209,0.9468,0.73049,0.86933,0.52985,1.03024,0.000874842,0.000874842,0.000874842
26,12267.3,0.92036,0.6305,1.08127,0.91508,0.88394,0.94984,0.73023,0.86635,0.5282,1.02063,0.000841835,0.000841835,0.000841835
27,12702.3,0.91427,0.62776,1.07487,0.89287,0.90888,0.95075,0.73708,0.85122,0.50757,1.01304,0.000808828,0.000808828,0.000808828
28,13151,0.90466,0.61392,1.06889,0.91055,0.88736,0.94996,0.73505,0.85782,0.50956,1.01853,0.000775822,0.000775822,0.000775822
29,13621,0.89912,0.61488,1.06634,0.92102,0.88462,0.95326,0.73734,0.85824,0.50437,1.01873,0.000742815,0.000742815,0.000742815
30,14090.4,0.89167,0.6038,1.06329,0.90793,0.8971,0.95168,0.74003,0.84386,0.50179,1.00975,0.000709809,0.000709809,0.000709809
31,14557.4,0.8878,0.59655,1.06367,0.9156,0.89583,0.95325,0.74033,0.84263,0.49723,1.00746,0.000676802,0.000676802,0.000676802
32,15029.2,0.88286,0.59413,1.06148,0.91584,0.89303,0.95389,0.74271,0.84123,0.49103,1.00636,0.000643795,0.000643795,0.000643795
33,15508,0.87412,0.58088,1.05848,0.91132,0.90834,0.95718,0.74672,0.84049,0.48631,1.01134,0.000610789,0.000610789,0.000610789
34,15994.1,0.87382,0.58347,1.05754,0.90507,0.91057,0.9575,0.75235,0.82407,0.47734,1.00116,0.000577782,0.000577782,0.000577782
35,16480.8,0.86645,0.57384,1.05183,0.92155,0.89686,0.95606,0.75148,0.82534,0.47796,1.00123,0.000544776,0.000544776,0.000544776
36,17013.7,0.86072,0.5708,1.05368,0.91453,0.90198,0.95878,0.7524,0.83083,0.47323,1.00431,0.000511769,0.000511769,0.000511769
37,17607.5,0.84913,0.55485,1.0429,0.91476,0.90627,0.95782,0.75744,0.81392,0.46924,0.99026,0.000478762,0.000478762,0.000478762
38,18204.5,0.84882,0.55576,1.04289,0.92655,0.89156,0.95601,0.75721,0.8146,0.46814,0.99464,0.000445756,0.000445756,0.000445756
39,18805,0.83991,0.557,1.04142,0.92074,0.90557,0.9614,0.76305,0.80704,0.45803,0.991,0.000412749,0.000412749,0.000412749
40,19409.3,0.82821,0.54446,1.03962,0.91832,0.90727,0.9609,0.76126,0.81237,0.45849,0.99405,0.000379743,0.000379743,0.000379743
